bioguide_id,birthday,chamber,contact_form,crp_id,district,facebook_id,fax,fec_ids,first_name,gender,govtrack_id,icpsr_id,in_office,last_name,leadership_role,lis_id,middle_name,name_suffix,nickname,oc_email,ocd_id,office,other_names,party,phone,senate_class,state,state_name,state_rank,term_end,term_start,thomas_id,title,twitter_id,votesmart_id,website,youtube_id,ntweets,nfollowers,twitter_screen_name
12,K000383,1944-03-31,senate,http://www.king.senate.gov/contact,N00034580,,142803045874943,202-224-1946,[S2ME00109],Angus,M,412545,41300.0,True,King,,S363,,,,Sen.King@opencongress.org,ocd-division/country:us/state:me,359 Dirksen Senate Office Building,,I,202-224-5344,1,ME,Maine,junior,2019-01-03,2013-01-03,02185,Sen,SenAngusKing,22381.0,http://www.king.senate.gov,SenatorAngusKing,998,10352,SenAngusKing
13,H001069,1955-10-30,senate,http://www.heitkamp.senate.gov/public/index.cfm/email-heidi,N00033782,,501810613175643,202-224-7776,[S2ND00099],Heidi,F,412554,41303.0,True,Heitkamp,,S360,,,,Sen.Heitkamp@opencongress.org,ocd-division/country:us/state:nd,502 Hart Senate Office Building,,D,202-224-2043,1,ND,North Dakota,junior,2019-01-03,2013-01-03,02174,Sen,SenatorHeitkamp,41716.0,http://www.heitkamp.senate.gov,senatorheidiheitkamp,1399,11650,SenatorHeitkamp
14,W000817,1949-06-22,senate,http://www.warren.senate.gov/?p=email_senator#thisForm,N00033492,,131559043673264,,[S2MA00170],Elizabeth,F,412542,41301.0,True,Warren,,S366,,,,Sen.Warren@opencongress.org,ocd-division/country:us/state:ma,317 Hart Senate Office Building,,D,202-224-4543,1,MA,Massachusetts,senior,2019-01-03,2013-01-03,02182,Sen,SenWarren,141272.0,http://www.warren.senate.gov,senelizabethwarren,199,164172,SenWarren
15,C001095,1977-05-13,senate,,N00033363,,120355701459307,,[H2AR04083],Tom,M,412508,21301.0,True,Cotton,,S374,,,,Sen.Cotton@opencongress.org,ocd-division/country:us/state:ar,B33 Russell Senate Office Building,,R,202-224-2353,2,AR,Arkansas,junior,2021-01-03,2015-01-06,02098,Sen,SenTomCotton,135651.0,http://www.cotton.senate.gov,RepTomCotton,1923,14300,SenTomCotton
16,C000880,1951-05-20,senate,http://www.crapo.senate.gov/contact/email.cfm,N00006267,,80335332266,202-228-1375,"[S8ID00027, H2ID02034]",Michael,M,300030,29345.0,True,Crapo,,S266,D.,,,Sen.Crapo@opencongress.org,ocd-division/country:us/state:id,239 Dirksen Senate Office Building,,R,202-224-6142,3,ID,Idaho,senior,2017-01-03,2011-01-05,00250,Sen,MikeCrapo,26830.0,http://www.crapo.senate.gov,senatorcrapo,2999,10884,MikeCrapo
17,C000567,1937-12-07,senate,http://www.cochran.senate.gov/public/index.cfm/email-me,N00003328,,,202-224-9450,[S8MS00055],Thad,M,300023,14009.0,True,Cochran,,S136,,,,Sen.Cochran@opencongress.org,ocd-division/country:us/state:ms,113 Dirksen Senate Office Building,,R,202-224-5054,2,MS,Mississippi,senior,2021-01-03,2015-01-06,00213,Sen,SenThadCochran,53312.0,http://www.cochran.senate.gov,sencochran,1045,14172,SenThadCochran
18,T000464,1956-08-21,senate,http://www.tester.senate.gov/?p=email_senator,N00027605,,210573031664,202-224-8594,[S6MT00162],Jon,M,412244,40702.0,True,Tester,,S314,,,,Sen.Tester@opencongress.org,ocd-division/country:us/state:mt,706 Hart Senate Office Building,,D,202-224-2644,1,MT,Montana,senior,2019-01-03,2013-01-03,01829,Sen,SenatorTester,20928.0,http://www.tester.senate.gov,senatorjontester,647,2948,SenatorTester
19,R000122,1949-11-12,senate,http://www.reed.senate.gov/contact/,N00000362,,213866375370646,202-224-4680,"[S6RI00163, H0RI02071]",John,M,300081,29142.0,True,Reed,,S259,F.,,Jack,Sen.Reed@opencongress.org,ocd-division/country:us/state:ri,728 Hart Senate Office Building,,D,202-224-4642,2,RI,Rhode Island,senior,2021-01-03,2015-01-06,00949,Sen,SenJackReed,27060.0,http://www.reed.senate.gov,SenatorReed,598,13161,SenJackReed
20,F000062,1933-06-22,senate,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,N00007364,,334887279867783,202-228-3954,[S0CA00199],Dianne,F,300043,49300.0,True,Feinstein,,S221,,,,Sen.Feinstein@opencongress.org,ocd-division/country:us/state:ca,331 Hart Senate Office Building,,D,202-224-3841,1,CA,California,senior,2019-01-03,2013-01-03,01332,Sen,SenFeinstein,53273.0,http://www.feinstein.senate.gov,SenatorFeinstein,1199,51009,SenFeinstein
21,C001088,1963-09-09,senate,http://www.coons.senate.gov/contact/,N00031820,,254950754518205,,[S0DE00092],Chris,M,412390,40916.0,True,Coons,,S337,Andrew,,,Sen.Coons@opencongress.org,ocd-division/country:us/state:de,127a Russell Senate Office Building,,D,202-224-5042,2,DE,Delaware,junior,2021-01-03,2015-01-06,01984,Sen,SenCoonsOffice,122834.0,http://www.coons.senate.gov,senatorchriscoons,797,3325,SenCoonsOffice
22,H001061,1957-03-13,senate,http://www.hoeven.senate.gov/public/index.cfm/email-the-senator,N00031688,,194483057244478,202-224-7999,[S0ND00093],John,M,412494,41107.0,True,Hoeven,,S344,,,,Sen.Hoeven@opencongress.org,ocd-division/country:us/state:nd,338 Russell Senate Office Building,,R,202-224-2551,3,ND,North Dakota,senior,2017-01-03,2011-01-05,02079,Sen,SenJohnHoeven,41788.0,http://www.hoeven.senate.gov,senatorjohnhoevennd,908,11121,SenJohnHoeven
23,M000355,1942-02-20,senate,http://www.mcconnell.senate.gov/public/index.cfm?p=ContactForm,N00003389,,mitchmcconnell,202-224-2499,[S2KY00012],Mitch,M,300072,14921.0,True,McConnell,Majority Leader,S174,,,,Sen.Mcconnell@opencongress.org,ocd-division/country:us/state:ky,317 Russell Senate Office Building,,R,202-224-2541,2,KY,Kentucky,senior,2021-01-03,2015-01-06,01395,Sen,McConnellPress,53298.0,http://www.mcconnell.senate.gov,,799,50318,McConnellPress
24,T000250,1961-01-07,senate,http://www.thune.senate.gov/public/index.cfm/contact,N00004572,,,202-228-5429,"[S2SD00068, H6SD00085]",John,M,400546,29754.0,True,Thune,,S303,,,,Sen.Thune@opencongress.org,ocd-division/country:us/state:sd,511 Dirksen Senate Office Building,,R,202-224-2321,3,SD,South Dakota,senior,2017-01-03,2011-01-05,01534,Sen,SenJohnThune,398.0,http://www.thune.senate.gov,johnthune,199,32984,SenJohnThune
25,M001111,1950-10-11,senate,http://www.murray.senate.gov/public/index.cfm/contactme,N00007876,,,202-224-0238,[S2WA00189],Patty,F,300076,49308.0,True,Murray,,S229,,,,Sen.Murray@opencongress.org,ocd-division/country:us/state:wa,154 Russell Senate Office Building,,D,202-224-2621,3,WA,Washington,senior,2017-01-03,2011-01-05,01409,Sen,PattyMurray,53358.0,http://www.murray.senate.gov,SenatorPattyMurray,799,32151,PattyMurray
26,E000285,1944-02-01,senate,http://www.enzi.senate.gov/public/index.cfm/contact?p=e-mail-senator-enzi,N00006249,,23068049436,202-228-0359,[S6WY00126],Michael,M,300041,49706.0,True,Enzi,,S254,B.,,,Sen.Enzi@opencongress.org,ocd-division/country:us/state:wy,379a Russell Senate Office Building,,R,202-224-3424,2,WY,Wyoming,senior,2021-01-03,2015-01-06,01542,Sen,SenatorEnzi,558.0,http://www.enzi.senate.gov,senatorenzi,1536,11293,SenatorEnzi
27,B001277,1946-02-13,senate,https://www.blumenthal.senate.gov/contact/,N00031685,,289987304364966,202-224-9673,[S0CT00177],Richard,M,412490,41101.0,True,Blumenthal,,S341,,,,Sen.Blumenthal@opencongress.org,ocd-division/country:us/state:ct,724 Hart Senate Office Building,,D,202-224-2823,3,CT,Connecticut,senior,2017-01-03,2011-01-05,02076,Sen,SenBlumenthal,1568.0,http://www.blumenthal.senate.gov,SenatorBlumenthal,999,23767,SenBlumenthal
28,H001041,1960-05-10,senate,http://www.heller.senate.gov/public/index.cfm/contact-form,N00027522,,325751330177,202-228-6753,"[H6NV02164, S2NV00183]",Dean,M,412218,20730.0,True,Heller,,S352,,,,Sen.Heller@opencongress.org,ocd-division/country:us/state:nv,324 Hart Senate Office Building,,R,202-224-6244,1,NV,Nevada,junior,2019-01-03,2013-01-03,01863,Sen,SenDeanHeller,2291.0,http://www.heller.senate.gov,SenDeanHeller,1798,15374,SenDeanHeller
29,W000437,1951-07-05,senate,http://www.wicker.senate.gov/public/index.cfm/contact,N00003280,,SenatorWicker,202-228-0378,"[H4MS01078, S8MS00196]",Roger,M,400432,29534.0,True,Wicker,,S318,F.,,,Sen.Wicker@opencongress.org,ocd-division/country:us/state:ms,555 Dirksen Senate Office Building,,R,202-224-6253,1,MS,Mississippi,junior,2019-01-03,2013-01-03,01226,Sen,SenatorWicker,21926.0,http://www.wicker.senate.gov,SenatorWicker,1770,15346,SenatorWicker
30,H000338,1934-03-22,senate,http://www.hatch.senate.gov/public/index.cfm/contact?p=Email-Orrin,N00009869,,,202-224-6331,"[S6UT00063, P00003806]",Orrin,M,300052,14503.0,True,Hatch,,S118,G.,,,Sen.Hatch@opencongress.org,ocd-division/country:us/state:ut,104 Hart Senate Office Building,,R,202-224-5251,1,UT,Utah,senior,2019-01-03,2013-01-03,01351,Sen,SenOrrinHatch,53352.0,http://www.hatch.senate.gov,SenatorOrrinHatch,2199,12604,SenOrrinHatch
31,W000779,1949-05-03,senate,http://www.wyden.senate.gov/contact,N00007724,,,202-228-2717,"[S6OR00110, H0OR03026]",Ron,M,300100,14871.0,True,Wyden,,S247,,,,Sen.Wyden@opencongress.org,ocd-division/country:us/state:or,221 Dirksen Senate Office Building,,D,202-224-5244,3,OR,Oregon,senior,2017-01-03,2011-01-05,01247,Sen,RonWyden,27036.0,http://www.wyden.senate.gov,senronwyden,1199,34263,RonWyden
32,C000174,1947-01-23,senate,http://www.carper.senate.gov/public/index.cfm/email-senator-carper,N00012508,,124891107521733,202-228-2190,[S8DE00079],Thomas,M,300019,15015.0,True,Carper,,S277,Richard,,,Sen.Carper@opencongress.org,ocd-division/country:us/state:de,513 Hart Senate Office Building,,D,202-224-2441,1,DE,Delaware,senior,2019-01-03,2013-01-03,00179,Sen,SenatorCarper,22421.0,http://www.carper.senate.gov,senatorcarper,1599,14248,SenatorCarper
33,D000563,1944-11-21,senate,http://www.durbin.senate.gov/public/index.cfm/contact,N00004981,,180436795325335,202-228-0400,"[S6IL00151, H2IL20026]",Richard,M,300038,15021.0,True,Durbin,Minority Whip,S253,J.,,,Sen.Durbin@opencongress.org,ocd-division/country:us/state:il,711 Hart Senate Office Building,,D,202-224-2152,2,IL,Illinois,senior,2021-01-03,2015-01-06,00326,Sen,SenatorDurbin,26847.0,http://www.durbin.senate.gov,SenatorDurbin,2199,52973,SenatorDurbin
34,L000174,1940-03-31,senate,https://www.leahy.senate.gov/contact/,N00009918,,178569152181267,202-224-3479,[S4VT00017],Patrick,M,300065,14307.0,True,Leahy,,S057,J.,,,Sen.Leahy@opencongress.org,ocd-division/country:us/state:vt,437 Russell Senate Office Building,,D,202-224-4242,3,VT,Vermont,senior,2017-01-03,2011-01-05,01383,Sen,SenatorLeahy,53353.0,http://www.leahy.senate.gov,SenatorPatrickLeahy,599,27387,SenatorLeahy
35,W000802,1955-10-20,senate,http://www.whitehouse.senate.gov/contact,N00027533,,194172833926853,202-228-6362,[S6RI00221],Sheldon,M,412247,40704.0,True,Whitehouse,,S316,,,,Sen.Whitehouse@opencongress.org,ocd-division/country:us/state:ri,530 Hart Senate Office Building,,D,202-224-2921,1,RI,Rhode Island,junior,2019-01-03,2013-01-03,01823,Sen,SenWhitehouse,2572.0,http://www.whitehouse.senate.gov,SenatorWhitehouse,1397,21106,SenWhitehouse
36,P000595,1958-12-01,senate,,N00029277,,88851604323,,[H8MI09068],Gary,M,412305,20923.0,True,Peters,,S380,C.,,,Sen.Peters@opencongress.org,ocd-division/country:us/state:mi,2 Russell Senate Courtyard,,D,202-224-6221,2,MI,Michigan,junior,2021-01-03,2015-01-06,01929,Sen,RepGaryPeters,8749.0,http://www.peters.senate.gov,RepGaryPeters,597,7889,SenGaryPeters
37,G000562,1974-08-22,senate,,N00030780,,160924893954206,,[H0CO04122],Cory,M,412406,21112.0,True,Gardner,,S377,,,,Sen.Gardner@opencongress.org,ocd-division/country:us/state:co,B40b Dirksen Senate Office Building,,R,202-224-5941,2,CO,Colorado,junior,2021-01-03,2015-01-06,01998,Sen,SenCoryGardner,30004.0,http://www.gardner.senate.gov,,1829,9955,SenCoryGardner
38,M001183,1947-08-24,senate,http://www.manchin.senate.gov/public/index.cfm/contact-form,N00032838,,10150135395755161,202-228-0002,[S0WV00090],Joe,M,412391,40915.0,True,Manchin,,S338,,III,,Sen.Manchin@opencongress.org,ocd-division/country:us/state:wv,306 Hart Senate Office Building,,D,202-224-3954,1,WV,West Virginia,senior,2019-01-03,2013-01-03,01983,Sen,Sen_JoeManchin,7547.0,http://www.manchin.senate.gov,SenatorJoeManchin,399,28218,Sen_JoeManchin
39,J000293,1955-04-08,senate,http://www.ronjohnson.senate.gov/public/index.cfm/contact,N00032546,,186181661410703,920-230-7262,[S0WI00197],Ron,M,412496,41111.0,True,Johnson,,S345,,,,Sen.Ronjohnson@opencongress.org,ocd-division/country:us/state:wi,328 Hart Senate Office Building,,R,202-224-5323,3,WI,Wisconsin,senior,2017-01-03,2011-01-05,02086,Sen,SenRonJohnson,126217.0,http://www.ronjohnson.senate.gov,SenatorRonJohnson,599,26771,SenRonJohnson
40,R000595,1971-05-28,senate,http://www.rubio.senate.gov/public/index.cfm/contact,N00030612,,178910518800987,202-228-0285,[S0FL00338],Marco,M,412491,41102.0,True,Rubio,,S350,,,,Sen.Rubio@opencongress.org,ocd-division/country:us/state:fl,284 Russell Senate Office Building,,R,202-224-3041,3,FL,Florida,junior,2017-01-03,2011-01-05,02084,Sen,SenRubioPress,1601.0,http://www.rubio.senate.gov,SenatorMarcoRubio,1871,17445,SenRubioPress
41,A000368,1968-06-27,senate,http://www.ayotte.senate.gov/?p=contact,N00030980,,123436097729198,202-224-4952,[S0NH00235],Kelly,F,412493,41106.0,True,Ayotte,,S340,,,,Sen.Ayotte@opencongress.org,ocd-division/country:us/state:nh,144 Russell Senate Office Building,,R,202-224-3324,3,NH,New Hampshire,junior,2017-01-03,2011-01-05,02075,Sen,,42352.0,http://www.ayotte.senate.gov,SenatorAyotte,3232,36364,KellyAyotte
42,L000575,1968-03-04,senate,,N00031129,,130873066975024,,[H0OK05114],James,M,412464,21166.0,True,Lankford,,S378,,,,Sen.Lankford@opencongress.org,ocd-division/country:us/state:ok,B40c Dirksen Senate Office Building,,R,202-224-5754,3,OK,Oklahoma,junior,2017-01-03,2015-01-06,02050,Sen,RepLankford,124938.0,http://www.lankford.senate.gov,replankford,796,12482,SenatorLankford
43,B001267,1964-11-28,senate,http://www.bennet.senate.gov/contact/email,N00030608,,97172997732,202-228-5036,[S0CO00211],Michael,M,412330,40910.0,True,Bennet,,S330,F.,,,Sen.Bennet@opencongress.org,ocd-division/country:us/state:co,458 Russell Senate Office Building,,D,202-224-5852,3,CO,Colorado,senior,2017-01-03,2011-01-05,01965,Sen,SenBennetCo,110942.0,http://www.bennet.senate.gov,SenatorBennet,199,20790,SenBennetCO
44,T000461,1961-11-17,senate,http://www.toomey.senate.gov/?p=contact,N00001489,,189274047751251,202-228-0284,"[S4PA00121, H8PA15096]",Patrick,M,400408,29935.0,True,Toomey,,S351,J.,,Pat,Sen.Toomey@opencongress.org,ocd-division/country:us/state:pa,248 Russell Senate Office Building,,R,202-224-4254,3,PA,Pennsylvania,junior,2017-01-03,2011-01-05,02085,Sen,SenToomey,24096.0,http://www.toomey.senate.gov,sentoomey,1998,33381,SenToomey
45,S001184,1965-09-19,senate,http://www.scott.senate.gov/contact/email-me,N00031782,,163207553711385,202-225-3407,"[H0SC01279, S4SC00240]",Tim,M,412471,21173.0,True,Scott,,S365,,,,Sen.Scott@opencongress.org,ocd-division/country:us/state:sc,167 Russell Senate Office Building,,R,202-224-6121,3,SC,South Carolina,junior,2017-01-03,2015-01-06,02056,Sen,SenatorTimScott,11940.0,http://www.scott.senate.gov,SenatorTimScott,799,84631,SenatorTimScott
46,P000603,1963-01-07,senate,http://www.paul.senate.gov/?p=contact,N00030836,,161355253917286,202-228-1373,[S0KY00156],Rand,M,412492,41104.0,True,Paul,,S348,,,,Sen.Paul@opencongress.org,ocd-division/country:us/state:ky,124 Russell Senate Office Building,,R,202-224-4343,3,KY,Kentucky,junior,2017-01-03,2011-01-05,02082,Sen,SenRandPaul,117285.0,http://www.paul.senate.gov,SenatorRandPaul,2199,548559,SenRandPaul
47,D000607,1955-09-28,senate,http://www.donnelly.senate.gov/contact/email-joe,N00026586,,168059529893610,202-225-6798,"[H4IN02101, S2IN00091]",Joe,M,412205,20717.0,True,Donnelly,,S356,,,,Sen.Donnelly@opencongress.org,ocd-division/country:us/state:in,720 Hart Senate Office Building,,D,202-224-4814,1,IN,Indiana,junior,2019-01-03,2013-01-03,01850,Sen,SenDonnelly,34212.0,http://www.donnelly.senate.gov,sendonnelly,1399,14876,SenDonnelly
48,C000542,1943-05-16,senate,http://www.coats.senate.gov/contact/,N00003845,,180671148633644,202-228-1820,[S0IN00053],Daniel,M,402675,14806.0,True,Coats,,S212,Ray,,,Sen.Coats@opencongress.org,ocd-division/country:us/state:in,493 Russell Senate Office Building,,R,202-224-5623,3,IN,Indiana,senior,2017-01-03,2011-01-05,00209,Sen,SenDanCoats,53291.0,http://www.coats.senate.gov,SenatorCoats,3070,19692,SenDanCoats
49,K000360,1959-09-15,senate,http://www.kirk.senate.gov/?p=comment_on_legislation,N00012539,,116381528428230,202-228-4611,"[H0IL10120, S0IL00261]",Mark,M,400222,20115.0,True,Kirk,,S339,Steven,,,Sen.Kirk@opencongress.org,ocd-division/country:us/state:il,524 Hart Senate Office Building,,R,202-224-2854,3,IL,Illinois,junior,2017-01-03,2011-01-05,01647,Sen,SenatorKirk,33502.0,http://www.kirk.senate.gov,SenatorKirk,599,33030,SenatorKirk
50,B001261,1952-07-21,senate,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=ContactUs.ContactForm,N00006236,,21146775942,202-224-1724,[S6WY00068],John,M,412251,40707.0,True,Barrasso,,S317,A.,,,Sen.Barrasso@opencongress.org,ocd-division/country:us/state:wy,307 Dirksen Senate Office Building,,R,202-224-6441,1,WY,Wyoming,junior,2019-01-03,2013-01-03,01881,Sen,SenJohnBarrasso,52662.0,http://www.barrasso.senate.gov,barrassowyo,1799,19020,SenJohnBarrasso
51,C001047,1953-11-26,senate,,N00009771,,8057864757,,"[H0WV02138, S4WV00159]",Shelley,F,400061,20146.0,True,Capito,,S372,Moore,,,Sen.Capito@opencongress.org,ocd-division/country:us/state:wv,5 Russell Senate Courtyard,,R,202-224-6472,2,WV,West Virginia,junior,2021-01-03,2015-01-06,01676,Sen,RepShelley,11701.0,http://www.capito.senate.gov,RepShelleyCapito,399,11825,SenCapito
52,K000384,1958-02-26,senate,http://www.kaine.senate.gov/contact,N00033177,,482778861771212,202-228-6363,[S2VA00142],Timothy,M,412582,41305.0,True,Kaine,,S362,,,,Sen.Kaine@opencongress.org,ocd-division/country:us/state:va,388 Russell Senate Office Building,,D,202-224-4024,1,VA,Virginia,junior,2019-01-03,2013-01-03,02176,Sen,SenKaineOffice,50772.0,http://www.kaine.senate.gov,SenatorTimKaine,2799,36862,timkaine
53,F000457,1951-05-21,senate,http://www.franken.senate.gov/?p=email_al,N00029016,,,,[S8MN00438],Alan,M,412378,40904.0,True,Franken,,S332,Stuart,,Al,Sen.Franken@opencongress.org,ocd-division/country:us/state:mn,309 Hart Senate Office Building,,D,202-224-5641,2,MN,Minnesota,junior,2021-01-03,2015-01-06,01969,Sen,,108924.0,http://www.franken.senate.gov,SenatorFranken,438,502,FrankenCommTeam
54,C001070,1960-04-13,senate,http://www.casey.senate.gov/contact/,N00027503,,107749545944874,202-228-0604,[S6PA00217],Robert,M,412246,40703.0,True,Casey,,S309,P.,Jr.,Bob,Sen.Casey@opencongress.org,ocd-division/country:us/state:pa,393 Russell Senate Office Building,,D,202-224-6324,1,PA,Pennsylvania,senior,2019-01-03,2013-01-03,01828,Sen,SenBobCasey,2541.0,http://www.casey.senate.gov,SenatorBobCasey,1199,23107,SenBobCasey
55,M001169,1973-08-03,senate,http://www.murphy.senate.gov/contact,N00027566,,19437978960,202-225-5933,"[H6CT05124, S2CT00132]",Christopher,M,412194,20707.0,True,Murphy,,S364,S.,,,Sen.Murphy@opencongress.org,ocd-division/country:us/state:ct,303 Hart Senate Office Building,,D,202-224-4041,1,CT,Connecticut,junior,2019-01-03,2013-01-03,01837,Sen,ChrisMurphyCT,17189.0,http://www.murphy.senate.gov,senchrismurphy,999,25970,ChrisMurphyCT
56,M000702,1936-07-20,senate,http://www.mikulski.senate.gov/contact/shareyouropinion.cfm,N00001945,,142890125771427,202-224-8858,[S6MD00140],Barbara,F,300073,14440.0,True,Mikulski,,S182,A.,,,Sen.Mikulski@opencongress.org,ocd-division/country:us/state:md,503 Hart Senate Office Building,,D,202-224-4654,3,MD,Maryland,senior,2017-01-03,2011-01-05,00802,Sen,SenatorBarb,53304.0,http://www.mikulski.senate.gov,senatormikulski,3199,34979,SenatorBarb
57,C000127,1958-10-13,senate,http://www.cantwell.senate.gov/public/index.cfm/email-maria,N00007836,,,202-228-0514,"[S8WA00194, H2WA01054]",Maria,F,300018,39310.0,True,Cantwell,,S275,,,,Sen.Cantwell@opencongress.org,ocd-division/country:us/state:wa,311 Hart Senate Office Building,,D,202-224-3441,1,WA,Washington,junior,2019-01-03,2013-01-03,00172,Sen,CantwellPress,27122.0,http://www.cantwell.senate.gov,SenatorCantwell,199,13056,SenatorCantwell
58,S001181,1947-01-28,senate,http://www.shaheen.senate.gov/contact/,N00024790,,127503767282103,202-228-3194,[S0NH00219],Jeanne,F,412323,40906.0,True,Shaheen,,S324,,,,Sen.Shaheen@opencongress.org,ocd-division/country:us/state:nh,520 Hart Senate Office Building,,D,202-224-2841,2,NH,New Hampshire,senior,2021-01-03,2015-01-06,01901,Sen,SenatorShaheen,1663.0,http://www.shaheen.senate.gov,senatorshaheen,599,21228,SenatorShaheen
